node1,node2,weight
51,1,0.55
1,51,0.55
23,1,0.85
10,1,0.9
5,1,0.65
19,1,0.95
6,1,0.9
78,1,0.55
29,51,0.55
54,1,0.55
7,1,0.85
74,1,0.55
81,1,0.55
13,1,0.9
33,51,0.55
76,1,0.6
51,1,0.55
71,1,0.9
41,1,0.9
57,1,0.85
53,7,0.7
36,41,0.6
7,76,0.55
1,76,0.6
89,41,0.55
81,17,0.55
81,69,0.6
81,1,0.55
10,41,0.9
34,7,0.55
64,7,0.65
39,7,0.65
6,7,0.75
33,7,0.6
28,7,0.55
13,41,0.7
1,51,0.55
33,51,0.55
29,51,0.55
75,41,0.6
7,2,0.75
7,39,0.75
7,56,0.65
7,4,0.7
7,19,0.75
7,57,0.7
7,13,0.55
4,41,0.55
75,7,0.65
55,7,0.55
29,7,0.6
41,7,0.95
23,7,0.75
88,7,0.65
80,7,0.55
7,54,0.75
41,83,0.55
7,4,0.7
7,34,0.55
7,3,0.8
7,33,0.6
7,5,0.55
7,47,0.55
41,64,0.55
4,41,0.55
64,41,0.55
10,41,0.9
68,41,0.55
75,41,0.6
7,41,0.75
41,68,0.55
36,21,0.6
36,41,0.6
36,78,0.6
36,46,0.55
36,35,0.6
36,37,0.55
41,70,0.55
13,1,0.9
2,1,0.9
35,1,0.55
17,1,0.95
54,1,0.55
29,1,0.7
47,1,0.6
41,10,0.7
70,41,0.55
2,41,0.6
83,41,0.55
86,41,0.55
13,41,0.7
41,4,0.55
13,34,0.55
1,34,0.55
1,19,0.8
54,45,0.6
6,4,0.6
6,5,0.6
6,2,0.7
6,5,0.6
6,32,0.55
6,35,0.7
6,7,0.75
54,13,0.6
17,81,0.55
69,81,0.6
1,81,0.55
80,81,0.9
54,7,0.8
36,78,0.6
36,21,0.6
36,35,0.6
36,88,0.65
36,46,0.55
36,7,0.7
54,62,0.6
17,39,0.55
44,39,0.55
1,39,0.9
45,39,0.6
21,39,0.6
7,39,0.75
54,2,0.6
33,7,0.6
68,7,0.6
76,7,0.55
60,7,0.85
34,7,0.55
39,21,0.6
33,7,0.6
64,7,0.65
23,7,0.75
53,7,0.7
80,7,0.55
60,7,0.85
39,45,0.55
39,7,0.65
36,88,0.65
36,1,0.7
36,35,0.6
36,78,0.6
36,21,0.6
36,46,0.55
39,2,0.9
41,60,0.55
41,89,0.55
41,10,0.7
41,86,0.55
41,13,0.65
41,1,0.9
39,1,0.9
37,36,0.55
78,36,0.6
88,36,0.65
21,36,0.6
7,36,0.65
1,36,0.65
39,69,0.6
41,64,0.55
41,7,0.95
39,44,0.55
41,75,0.55
41,70,0.55
1,54,0.55
33,35,0.7
54,62,0.6
1,62,0.25
75,62,0.6
4,62,0.85
7,62,0.8
29,62,0.6
33,1,0.9
75,41,0.6
70,41,0.55
2,41,0.6
89,41,0.55
4,41,0.55
64,41,0.55
33,57,0.55
1,51,0.55
33,51,0.55
29,51,0.55
